Word,Time_s,intensity_dB
your,0.841444,55.46021
your,0.853752,60.739843
your,0.86606,63.894403
your,0.878367,65.89106
your,0.890675,67.317105
your,0.902983,68.483385
your,0.91529,69.507915
your,0.927598,70.431425
your,0.939906,71.149391
your,0.952214,71.435877
your,0.964521,71.279234
your,0.976829,70.948766
your,0.989137,70.753495
your,1.001444,70.757521
your,1.013752,70.807277
your,1.02606,70.596822
your,1.038367,70.022215
your,1.050675,69.486151
your,1.062983,69.097623
your,1.07529,68.344761
your,1.087598,66.490752
good,1.099906,63.065803
good,1.112214,58.061124
good,1.124521,51.782821
good,1.136829,47.456939
good,1.149137,50.303951
good,1.161444,53.917576
good,1.173752,54.738513
good,1.18606,53.435774
good,1.198367,58.258181
good,1.210675,64.025174
good,1.222983,67.40999
good,1.23529,69.117141
good,1.247598,69.94434
good,1.259906,70.303346
good,1.272214,69.965813
good,1.284521,68.10302
good,1.296829,64.373778
pants,1.309137,59.339473
pants,1.321444,53.184737
pants,1.333752,47.149096
pants,1.34606,42.494409
pants,1.358367,38.408887
pants,1.370675,35.366943
pants,1.382983,32.707985
pants,1.39529,30.202449
pants,1.407598,30.175916
pants,1.419906,36.850735
pants,1.432214,44.392173
pants,1.444521,50.27956
pants,1.456829,53.42597
pants,1.469137,54.311031
pants,1.481444,54.312922
pants,1.493752,58.87452
pants,1.50606,65.076906
pants,1.518367,68.18052
pants,1.530675,68.405204
pants,1.542983,67.254087
pants,1.55529,66.562892
pants,1.567598,66.207869
look,1.764521,61.032083
look,1.776829,62.845994
look,1.789137,63.174747
look,1.801444,62.960043
look,1.813752,62.665923
look,1.82606,62.853071
look,1.838367,63.727349
look,1.850675,64.3092
look,1.862983,64.324806
look,1.87529,64.008709
look,1.887598,63.48572
look,1.899906,62.485174
look,1.912214,60.142082
look,1.924521,55.853813
look,1.936829,49.891131
look,1.949137,43.473938
look,1.961444,38.515354
look,1.973752,35.110385
look,1.98606,32.445565
look,1.998367,30.829372
look,2.010675,38.900218
great,2.022983,48.300493
great,2.03529,53.225342
great,2.047598,53.715085
great,2.059906,50.342548
great,2.072214,46.592688
great,2.084521,51.346237
great,2.096829,58.952287
great,2.109137,63.971759
great,2.121444,66.659635
great,2.133752,67.959389
great,2.14606,68.601069
great,2.158367,68.83386
great,2.170675,68.641451
great,2.182983,67.924238
great,2.19529,66.493154
great,2.207598,64.293479
great,2.219906,61.856176
great,2.232214,59.672981
great,2.244521,57.422381
great,2.256829,55.03433
great,2.269137,53.828529
great,2.281444,53.734378
great,2.293752,51.887679
great,2.30606,47.991758
great,2.318367,44.720556
great,2.330675,42.621603
great,2.342983,40.359969
great,2.35529,36.727437
great,2.367598,32.789502
great,2.379906,30.546704
great,2.392214,29.317203
great,2.404521,27.363266
great,2.416829,28.930633
great,2.429137,35.603166
great,2.441444,39.056351
great,2.453752,38.960492
great,2.46606,37.177206
great,2.478367,36.689772
great,2.490675,37.213553
great,2.502983,38.849756
great,2.51529,44.013953
great,2.527598,49.173523
great,2.539906,50.33953
great,2.552214,46.912758
